n	potential_hex	potential	recurrence_upper	gap_lower	ratio_upper	evaluations
182	0x1.e3dcfde0a61d9p+13	15483.623963640001	15481.45155554502	2.1724080949807099	0.46744426891800517	982682
183	0x1.e92bf5a8958afp+13	15653.494950455	15651.297132117101	2.1978183378996614	0.46742198783048178	990704
184	0x1.ee825788f598bp+13	15824.292741698	15822.069261596076	2.2234801019239963	0.46739995101896281	998680
185	0x1.f3e02382fd64bp+13	15996.017339687	15993.768381450836	2.2489582361631615	0.46737815455623088	1006715
186	0x1.f9455997dc21ap+13	16168.668746681	16166.394372646057	2.2743740349433206	0.46735659459709222	1014749
187	0x1.feb1f9c8e5a65p+13	16342.246965212	16339.946914406233	2.3000508057666589	0.46733526738574171	1022840
188	0x1.0213020ba5834p+14	16516.751997553001	16514.425684032962	2.3263135200395477	0.46731416923814523	1030895
189	0x1.04d0bc421cec3p+14	16692.183845951	16689.831543012817	2.3523029381831289	0.46729329654687735	1038995
190	0x1.07922b8888691p+14	16868.542513019001	16866.164127704662	2.3783853143395386	0.46727264579000011	1047051
191	0x1.0a574fdf6c61bp+14	17045.828000730002	17043.423336218842	2.404664511159353	0.46725221350100071	1055166
192	0x1.0d2029477f81ap+14	17224.040311805998	17221.608714630183	2.4315971758151131	0.46723199630550133	1063253
193	0x1.0fecb7c142913p+14	17403.179448166	17400.721203804362	2.4582443616382075	0.46721199087669479	1071395
194	0x1.12bcfb4d6d5ffp+14	17583.245412549	17580.760463774554	2.4849487744468202	0.46719219397781392	1079495
195	0x1.1590f3ec7dd35p+14	17764.238206831	17761.726158495396	2.5120483356040491	0.46717260241501657	1087702
196	0x1.1868a19f2b98ap+14	17946.157833748999	17943.618887425226	2.5389463237734158	0.46715321308176294	1095865
197	0x1.1b440465f51ecp+14	18129.004295186998	18126.438276924218	2.5660182627798345	0.46713402291187617	1104073
198	0x1.1e231c418d1bcp+14	18312.777593808001	18310.184418146473	2.5931756615282207	0.46711502892072254	1112215
199	0x1.2105e9327ead6p+14	18497.477731685001	18494.856162196091	2.6215694889106085	0.46709622816810198	1120382
200	0x1.23ec6b3958f85p+14	18683.104710951	18680.455413982898	2.6492969681021346	0.46707761777377516	1128511
